epoch,accuracy,loss,lr,mae,mse,val_accuracy,val_loss,val_mae,val_mse
0,0.9749266505241394,0.0043234736658632755,1e-04,0.024894408881664276,0.0043234736658632755,0.9772157669067383,0.004121419042348862,0.023894283920526505,0.004121419042348862
1,0.9778865575790405,0.004060445353388786,1e-04,0.023670626804232597,0.004060445353388786,0.9780667424201965,0.0040298691019415855,0.023416908457875252,0.0040298691019415855
2,0.9787169694900513,0.003993218299001455,1e-04,0.023379340767860413,0.003993218299001455,0.9775708913803101,0.004027217160910368,0.023357709869742393,0.004027217160910368
3,0.9791873693466187,0.003954876679927111,1e-04,0.023215100169181824,0.003954876679927111,0.9791250824928284,0.003963955212384462,0.023151347413659096,0.003963955212384462
4,0.9794474840164185,0.003929402679204941,1e-04,0.023112894967198372,0.003929402679204941,0.9791562557220459,0.003964548464864492,0.023253949359059334,0.003964548464864492
5,0.9796855449676514,0.003909958992153406,1e-04,0.02303708717226982,0.003909958992153406,0.9793359041213989,0.003955642227083445,0.02328662760555744,0.003955642227083445
6,0.9800028204917908,0.0038822211790829897,1e-04,0.022917894646525383,0.0038822211790829897,0.9802825450897217,0.003907604143023491,0.022949861362576485,0.003907604143023491
7,0.9816622138023376,0.0037625757977366447,2e-05,0.02234013006091118,0.0037625757977366447,0.9811480641365051,0.0038049365393817425,0.02240917459130287,0.0038049365393817425
8,0.9817584753036499,0.003745010821148753,2e-05,0.0222688689827919,0.003745010821148753,0.9809212684631348,0.0037953925784677267,0.022399889305233955,0.0037953925784677267
9,0.9817904829978943,0.00373542751185596,2e-05,0.022233858704566956,0.00373542751185596,0.9811875820159912,0.0037863405887037516,0.022319231182336807,0.0037863405887037516
10,0.9818665385246277,0.0037272858899086714,2e-05,0.022198939695954323,0.0037272858899086714,0.9810488820075989,0.0037852111272513866,0.022371500730514526,0.0037852111272513866
11,0.9819040894508362,0.0037210050504654646,2e-05,0.022172734141349792,0.0037210050504654646,0.9814712405204773,0.003773293225094676,0.022293509915471077,0.003773293225094676
12,0.9819448590278625,0.0037154387682676315,2e-05,0.022151747718453407,0.0037154387682676315,0.9814310073852539,0.00376952369697392,0.022296657785773277,0.00376952369697392
13,0.981989324092865,0.003710653865709901,2e-05,0.02213321253657341,0.003710653865709901,0.9813768863677979,0.003775472054257989,0.022295014932751656,0.003775472054257989
14,0.9823517203330994,0.003685956820845604,4e-06,0.02202470600605011,0.003685956820845604,0.9817749857902527,0.003751642070710659,0.022197900339961052,0.003751642070710659
15,0.9823983907699585,0.0036833605263382196,4e-06,0.0220144372433424,0.0036833605263382196,0.981833279132843,0.003750871866941452,0.022187629714608192,0.003750871866941452
16,0.9824042320251465,0.0036818955559283495,4e-06,0.022010350599884987,0.0036818955559283495,0.9818346500396729,0.003750371281057596,0.022187499329447746,0.003750371281057596
17,0.982405424118042,0.0036805460695177317,4e-06,0.022004591301083565,0.0036805460695177317,0.9818381071090698,0.0037492946721613407,0.022167280316352844,0.0037492946721613407
